Variable,Missing Count,Missing Percent
BMI,"43,037",9.4
Number_of_Children,"9,379",2.05
Marijuana_Use_30_Days,"321,789",70.31
Number_of_Days_Last_Month_Poor_Health,"195,028",42.61
Total_Drinks_30_days,"249,959",54.62
Sugar_Soda_Drinks_Per_Day,"442,068",96.59
Sugar_Soda_Drinks_Per_Week,"420,327",91.84
Sugar_Soda_Drinks_Per_Month,"396,514",86.64
Non_Soda_Sugar_Drinks_Per_Day,"445,447",97.33
Non_Soda_Sugar_Drinks_Per_Week,"438,957",95.91
Non_Soda_Sugar_Drinks_Per_Month,"439,149",95.95
